Time,Action,Price
2025-07-22 18:45:00,BUY,33670.03367003367
2025-07-26 04:45:00,SELL,37243.947858473
2025-07-26 09:15:00,BUY,36941.26339120798
2025-07-26 16:45:00,SELL,37023.324694557574
